"","AOMICID","income","female","education","hand","econ.ideology","econ.ideology.scale","social.ideology","social.ideology.scale","economic.identity","economic.identity.scale","social.identity","social.identity.scale","political.interest","political.interest.scale","non.voting","unfaithful.voting","vote.2010","vote.next","alpha","beta","gamma","delta","Fscale","ACC","rAmyg","rAmygW","lAmyg"
"842","870","Beneden-modaal (minder dan 32500)",0,NA,"Rechtshandig",2.5,-0.524746560196959,1.5,-0.338873539429378,2,-1.09342901103222,2,-1.01142350762028,3.33333333333333,-0.590338598089,1,4,"GroenLinks","GroenLinks",-0.404853250300267,0.905416971013799,1.01585168467097,-0.449988284773788,0.75,330,550,333,560
"843","871","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",0,NA,"Rechtshandig",3,0.151531092249389,2,0.497679833195258,4,0.127260701341909,4,0.530097854191498,1.33333333333333,-1.78957541161925,0,7,NA,NA,-0.806787888085496,0.905416971013799,-0.800033657887896,0.0882111029705443,0.4375,333,777,478,708
"844","872","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",1,NA,"Rechtshandig",3,0.151531092249389,1,-1.17542691205401,2,-1.09342901103222,4,0.530097854191498,2.66666666666667,-0.990084202599084,1,2,"CDA","CDA",0.399016025270191,0.555167388326278,-0.021797082505523,-0.449988284773788,0.5625,347,778,480,782
"845","873","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",1,NA,"Rechtshandig",4.25,1.84222522336526,1,-1.17542691205401,4,0.127260701341909,4,0.530097854191498,4,-0.190592993578915,1,6,NA,NA,-0.404853250300267,-0.845830942423806,0.75643949287685,0.626410490714877,0.625,330,714,441,665
"846","874","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",1,NA,"Rechtshandig",2.75,-0.186607733973785,1.5,-0.338873539429378,4,0.127260701341909,4,0.530097854191498,2.33333333333333,-1.18995700485413,1,3,NA,NA,-0.00291861251503796,-0.145331777048764,1.2752638764651,-0.719087978645954,0.4375,330,696,434,598
"847","875","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",0,NA,"Rechtshandig",3.5,0.827808744695738,1.75,0.0794031468829401,5,0.737605557528972,2,-1.01142350762028,4.66666666666667,0.209152610931169,1,6,"VVD","D66",-0.806787888085496,1.25566655370132,-0.281209274299647,0.0882111029705443,0.625,353,660,413,599
"848","876","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",1,NA,"Rechtshandig",3.25,0.489669918472564,1,-1.17542691205401,3,-0.483084154845155,2,-1.01142350762028,6.66666666666667,1.40838942446142,1,5,"D66","D66",-1.20872252587072,1.25566655370132,-1.83768242506439,0.895510184587043,0.75,340,724,450,677
"849","877","Meer dan driemaal modaal (100000 euro en meer) ",0,NA,"Rechtshandig",3.5,0.827808744695738,1.75,0.0794031468829401,5,0.737605557528972,2,-1.01142350762028,5.66666666666667,0.808771017696296,1,5,"D66","VVD",-1.61065716365595,-1.54633010779885,-1.31885804147614,1.16460987845921,0.6875,339,631,390,584
"850","878","Beneden-modaal (minder dan 32500)",0,NA,"Rechtshandig",2.75,-0.186607733973785,2,0.497679833195258,3,-0.483084154845155,4,0.530097854191498,1.66666666666667,-1.58970260936421,1,5,"GroenLinks",NA,2.40868921419634,0.204917805638757,0.237615109288601,-1.52638706026245,0.5,334,606,373,611
"851","879","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",1,NA,"Linkshandig",3.5,0.827808744695738,1.25,-0.757150225741696,5,0.737605557528972,2,-1.01142350762028,6.66666666666667,1.40838942446142,1,3,"D66","D66",-0.00291861251503796,1.25566655370132,-0.800033657887896,0.35731079684271,0.5625,336,638,394,701
"852","880","Beneden-modaal (minder dan 32500)",1,"mavo, vmbo (theoretische leerweg)","Rechtshandig",3,0.151531092249389,2,0.497679833195258,4,0.127260701341909,4,0.530097854191498,NA,NA,1,5,"SP","SP",0.80095066305542,-0.845830942423806,1.53467606825922,1.16460987845921,0.375,330,742,468,755
"853","881","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",0,NA,"Rechtshandig",3.5,0.827808744695738,3.25,2.58906326475685,4,0.127260701341909,4,0.530097854191498,3,-0.790211400344042,1,4,"PvdA",NA,2.00675457641111,-1.19608052511133,1.01585168467097,-1.25728736639029,0.25,332,726,448,662
"854","882","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",0,NA,"Rechtshandig",3.25,0.489669918472564,2.25,0.915956519507576,4,0.127260701341909,4,0.530097854191498,3,-0.790211400344042,1,4,NA,NA,-0.00291861251503796,0.204917805638757,2.83173702722984,-0.988187672518121,0.75,342,649,396,680
"855","883","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",0,NA,"Rechtshandig",1,-2.55357951753601,1,-1.17542691205401,1,-1.70377386721928,1,-1.78218418852617,5,0.409025413186211,1,2,"GroenLinks","GroenLinks",0.80095066305542,1.60591613638884,1.01585168467097,-2.06458644800679,0.4375,339,689,426,643
"856","884","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",0,NA,"Rechtshandig",3,0.151531092249389,2,0.497679833195258,4,0.127260701341909,3,-0.24066282671439,3.33333333333333,-0.590338598089,0,6,"GroenLinks","VVD",0.80095066305542,-0.145331777048764,-0.281209274299647,-0.449988284773788,0.6875,347,680,419,687
"857","885","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",0,NA,"Rechtshandig",2.75,-0.186607733973785,1,-1.17542691205401,4,0.127260701341909,4,0.530097854191498,1,-1.98944821387429,0,4,NA,NA,1.20288530084065,-0.145331777048764,1.53467606825922,0.626410490714877,0.4375,316,654,399,683
"858","886","Meer dan driemaal modaal (100000 euro en meer) ",0,NA,"Rechtshandig",4.25,1.84222522336526,2.25,0.915956519507576,6,1.34795041371604,3,-0.24066282671439,4.66666666666667,0.209152610931169,1,5,"VVD","VVD",-0.806787888085496,-0.145331777048764,-1.05944584968202,0.35731079684271,0.1875,331,678,422,668
"859","887","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",0,NA,"Rechtshandig",2.75,-0.186607733973785,3,2.17078657844453,2,-1.09342901103222,3,-0.24066282671439,3.33333333333333,-0.590338598089,0,6,"Christenunie","PVV",1.20288530084065,0.204917805638757,0.497027301082726,0.0882111029705443,0.5,298,696,427,488
"860","888","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",0,NA,"Rechtshandig",2.5,-0.524746560196959,2.25,0.915956519507576,3,-0.483084154845155,3,-0.24066282671439,5.66666666666667,0.808771017696296,1,2,"D66","D66",-0.404853250300267,1.25566655370132,0.497027301082726,0.0882111029705443,0.5,339,608,377,714
