participant_id,age,sex,education_level,background_SES,social.ideology,social.ideology.scale,social.identity,social.identity.scale,political.interest,political.interest.scale
sub-0463,22.0,male,medium,3.0,1.75,0.0794031468829401,2,-1.01142350762028,3.66666666666667,-0.390465795833958
sub-0464,22.0,male,high,4.5,1.0,-1.17542691205401,4,0.530097854191498,4.33333333333333,0.0092798086761266
sub-0466,22.25,male,low,3.0,1.0,-1.17542691205401,4,0.530097854191498,3.0,-0.790211400344042
sub-0467,20.25,female,medium,4.0,3.0,2.17078657844453,5,1.30085853509739,1.0,-1.98944821387429
sub-0468,23.5,female,high,6.0,4.0,3.8438933236938,4,0.530097854191498,3.33333333333333,-0.590338598089
sub-0471,23.0,female,high,5.0,2.0,0.497679833195258,4,0.530097854191498,4.0,-0.190592993578915
sub-0472,26.0,female,high,2.0,1.5,-0.338873539429378,4,0.530097854191498,4.66666666666667,0.209152610931169
sub-0473,22.75,female,high,3.5,2.5,1.33423320581989,6,2.07161921600328,5.33333333333333,0.608898215441253
sub-0478,20.25,male,high,6.0,3.25,2.58906326475685,4,0.530097854191498,2.0,-1.38982980710917
sub-0481,23.5,male,medium,4.0,1.75,0.0794031468829401,2,-1.01142350762028,5.66666666666667,0.808771017696296
sub-0482,23.0,male,medium,3.0,1.0,-1.17542691205401,1,-1.78218418852617,6.66666666666667,1.40838942446142
sub-0484,24.0,male,high,4.5,1.25,-0.757150225741696,3,-0.24066282671439,5.0,0.409025413186211
sub-0486,21.5,male,medium,3.0,1.25,-0.757150225741696,3,-0.24066282671439,3.66666666666667,-0.390465795833958
sub-0491,20.25,male,low,4.0,1.25,-0.757150225741696,4,0.530097854191498,1.0,-1.98944821387429
sub-0492,22.0,male,high,4.0,2.25,0.915956519507576,1,-1.78218418852617,3.33333333333333,-0.590338598089
sub-0496,25.25,male,low,4.0,2.0,0.497679833195258,4,0.530097854191498,2.0,-1.38982980710917
sub-0498,21.0,female,medium,3.5,1.25,-0.757150225741696,3,-0.24066282671439,5.0,0.409025413186211
sub-0499,20.25,female,medium,3.5,1.5,-0.338873539429378,2,-1.01142350762028,3.66666666666667,-0.390465795833958
sub-0500,26.0,male,high,3.5,2.75,1.75250989213221,1,-1.78218418852617,6.0,1.00864381995134
sub-0502,24.5,female,high,4.0,1.0,-1.17542691205401,4,0.530097854191498,1.0,-1.98944821387429
sub-0503,26.0,female,high,3.5,2.75,1.75250989213221,2,-1.01142350762028,6.0,1.00864381995134
sub-0505,24.5,female,high,5.0,1.0,-1.17542691205401,1,-1.78218418852617,6.33333333333333,1.20851662220638
sub-0508,23.75,female,medium,3.0,1.0,-1.17542691205401,4,0.530097854191498,4.0,-0.190592993578915
sub-0510,23.75,female,high,4.5,1.5,-0.338873539429378,4,0.530097854191498,3.0,-0.790211400344042
